IDDEENTIDAD,ID,DESCRIPCION
15,150010001,Acambay de Ruíz Castañeda
15,150020001,Acolman
15,150030001,Aculco
15,150040001,Almoloya de Alquisiras
15,150050001,Almoloya de Juárez
15,150060001,Almoloya del Río
15,150070001,Amanalco
15,150080001,Amatepec
15,150090001,Amecameca
15,150100001,Apaxco
15,150110001,Atenco
15,150120001,Atizapán
15,150130001,Atizapán de Zaragoza
15,150140001,Atlacomulco
15,150150001,Atlautla
15,150160001,Axapusco
15,150170001,Ayapango
15,150180001,Calimaya
15,150190001,Capulhuac
15,150200001,Coacalco de Berriozábal
15,150210001,Coatepec Harinas
15,150220001,Cocotitlán
15,150230001,Coyotepec
15,150240001,Cuautitlán
15,150250001,Chalco
15,150260001,Chapa de Mota
15,150270001,Chapultepec
15,150280001,Chiautla
15,150290001,Chicoloapan
15,150300001,Chiconcuac
15,150310001,Chimalhuacán
15,150320001,Donato Guerra
15,150330001,Ecatepec de Morelos
15,150340001,Ecatzingo
15,150350001,Huehuetoca
15,150360001,Hueypoxtla
15,150370001,Huixquilucan
15,150380001,Isidro Fabela
15,150390001,Ixtapaluca
15,150400001,Ixtapan de la Sal
15,150410001,Ixtapan del Oro
15,150420001,Ixtlahuaca
15,150430001,Xalatlaco
15,150440001,Jaltenco
15,150450001,Jilotepec
15,150460001,Jilotzingo
15,150470001,Jiquipilco
15,150480001,Jocotitlán
15,150490001,Joquicingo
15,150500001,Juchitepec
15,150510001,Lerma
15,150520001,Malinalco
15,150530001,Melchor Ocampo
15,150540001,Metepec
15,150550001,Mexicaltzingo
15,150560001,Morelos
15,150570001,Naucalpan de Juárez
15,150580001,Nezahualcóyotl
15,150590001,Nextlalpan
15,150600001,Nicolás Romero
15,150610001,Nopaltepec
15,150620001,Ocoyoacac
15,150630001,Ocuilan
15,150640001,El Oro
15,150650001,Otumba
15,150660001,Otzoloapan
15,150670001,Otzolotepec
15,150680001,Ozumba
15,150690001,Papalotla
15,150700001,La Paz
15,150710001,Polotitlán
15,150720001,Rayón
15,150730001,San Antonio la Isla
15,150740001,San Felipe del Progreso
15,150750001,San Martín de las Pirámides
15,150760001,San Mateo Atenco
15,150770001,San Simón de Guerrero
15,150780001,Santo Tomás
15,150790001,Soyaniquilpan de Juárez
15,150800001,Sultepec
15,150810001,Tecámac
15,150820001,Tejupilco
15,150830001,Temamatla
15,150840001,Temascalapa
15,150850001,Temascalcingo
15,150860001,Temascaltepec
15,150870001,Temoaya
15,150880001,Tenancingo
15,150890001,Tenango del Aire
15,150900001,Tenango del Valle
15,150910001,Teoloyucan
15,150920001,Teotihuacán
15,150930001,Tepetlaoxtoc
15,150940001,Tepetlixpa
15,150950001,Tepotzotlán
15,150960001,Tequixquiac
15,150970001,Texcaltitlán
15,150980001,Texcalyacac
15,150990001,Texcoco
15,151000001,Tezoyuca
15,151010001,Tianguistenco
15,151020001,Timilpan
15,151030001,Tlalmanalco
15,151040001,Tlalnepantla de Baz
15,151050001,Tlatlaya
15,151060001,Toluca
15,151070001,Tonatico
15,151080001,Tultepec
15,151090001,Tultitlán
15,151100001,Valle de Bravo
15,151110001,Villa de Allende
15,151120001,Villa del Carbón
15,151130001,Villa Guerrero
15,151140001,Villa Victoria
15,151150001,Xonacatlán
15,151160001,Zacazonapan
15,151170001,Zacualpan
15,151180001,Zinacantepec
15,151190001,Zumpahuacán
15,151200001,Zumpango
15,151210001,Cuautitlán Izcalli
15,151220001,Valle de Chalco Solidaridad
15,151230001,Luvianos
15,151240001,San José del Rincón
15,151250001,Tonanitla
